千与千寻	￥55.60	北京联合出版公司	日	https://item.jd.com/12861637.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/189759/30/7580/363898/60c2ca46Eb51f4c0f/dd8ea8560c2c3e92.jpg
漫画JOJO的奇妙冒险乔乔的奇妙冒险第三部·星尘斗士（共16卷）	￥400.00	新星出版社	(日)荒木飞吕彦	https://item.jd.com/12874931.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/213288/5/1953/229964/61779ca9Edf9865ce/012f167603695cc3.jpg
伊藤润二作品套装（《旋涡》《伊藤润二短篇精选集》《鱼》《地狱星》）京东专享版	￥317.00	新星出版社	(日)伊藤润二	https://item.jd.com/12972127.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/201044/28/11225/171252/61663ca2E00921c97/0c9f1a14deb0e869.jpg
名侦探柯南彩色漫画经典新装大礼盒（1-49册，附赠惊喜侦探笔记本）柯南工藤新一毛利兰怪盗基德	￥640.40	国家开放大学出版社	国开童媒	https://item.jd.com/13133124.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/163309/7/11222/164502/6049aaccEcebbad98/b291f364a56a5608.jpg
漫画JOJO的奇妙冒险乔乔的奇妙冒险第二部˙战斗潮流（共7卷）（随书附赠人物书签7张贴纸2张海报2张）	￥175.00	新星出版社	(日)荒木飞吕彦	https://item.jd.com/13108358.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/160634/13/7964/495931/60373f22E05fb01ae/29f2caa8d4b284df.jpg
工作细胞（1～5）	￥114.00	浙江人民出版社	(日)清水茜	https://item.jd.com/13349100.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/190659/11/18816/153995/611b48b3Ec4efc092/75b230869ddd0135.jpg
地狱星	￥45.00	新星出版社	(日)伊藤润二	https://item.jd.com/13467286.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/209599/40/4688/257831/6163dcf6Edbb4c19a/c1a97031f2849df8.jpg
灌篮高手黄金年代版（套装24册）Slamdunk篮球飞人亚克力书签+底座+10天以后灌篮高手完全版日本动漫漫画书井上雄彦著	￥960.00	长春出版社	(日)井上雄彦	https://item.jd.com/12514930.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/147849/6/442/207438/5ee1f73bE0cfb2e8d/53a54998acf4a908.jpg
名侦探柯南彩色漫画（套装1-10册）	￥120.00	国家开放大学出版社	国开童媒	https://item.jd.com/12025499.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/61896/22/16521/165161/613972ddEa4d80c8a/8505ce22614a87e7.jpg
名侦探柯南彩色漫画（套装11-20册）	￥118.60	国家开放大学出版社	国开童媒	https://item.jd.com/12093288.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/63228/23/16588/150943/61397347E3620f4cc/aecbfc2ced2a87d2.jpg
横山光辉三国志第1卷桃园三结义	￥68.00	新星出版社	(日)横山光辉	https://item.jd.com/13351352.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/191112/27/12662/144030/60efad9eE7047ae4d/fe70bd05ff5010af.jpg
【赠品丰富】灌篮高手漫画全套31册井上雄彦日本经典动漫小说漫画书籍樱木花道流川枫	￥313.00	长春出版社	(日)井上雄彦	https://item.jd.com/1471179598.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/197009/28/14599/283075/617673f2E2caba0cf/bbd042e51de2945f.jpg
横山光辉三国志第2卷汉室之风云	￥68.00	新星出版社	(日)横山光辉	https://item.jd.com/12894671.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/184812/8/14172/143179/60efda4dE03397816/6567386cfa7ba951.jpg
鱼（全2册）日本著名恐怖漫画家伊藤润二挑战感官的又一代表作	￥75.00	新星出版社	(日)伊藤润二	https://item.jd.com/12857973.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/187468/15/3911/249825/60a34d46E965ac608/7fe19282e1199b79.jpg
名侦探柯南彩色漫画套装21-30册)	￥118.60	河南美术出版社	国开童媒	https://item.jd.com/12154393.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/172563/16/20280/165528/6139744bEcb5b0a21/fb4698109e5f43b0.jpg
横山光辉三国志第3卷董卓讨伐军	￥68.00	新星出版社	(日)横山光辉	https://item.jd.com/13351348.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/191381/9/13085/143119/60efdbd7E3ea42fdd/ba32ad8e1f266cea.jpg
横山光辉三国志第5卷徐州谋略战	￥68.00	新星出版社	(日)横山光辉	https://item.jd.com/12894673.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/180121/16/14286/162679/60efde6cE3f3c782b/7010783bea1765d8.jpg
漫画JOJO的奇妙冒险乔乔的奇妙冒险·幻影之血（共5卷）（随书附赠人物书签5张贴纸2张官方授权京东专享海报1张）	￥93.80	新星出版社	(日)荒木飞吕彦	https://item.jd.com/13013488.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/124888/30/19131/459729/5fb77d43E3755486d/9441a16e9690103c.jpg
横山光辉三国志第4卷吕布与曹操	￥68.00	新星出版社	(日)横山光辉	https://item.jd.com/13351330.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/40718/3/16342/154003/60efdd10Ec67603df/e7bf432d0b61dcf2.jpg
名侦探柯南彩色漫画（套装31-39册）	￥106.70	河南美术出版社	国开童媒	https://item.jd.com/12914008.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/140205/12/2235/169902/5f029aa0E4cc05761/e26020ae86ace8c1.jpg
有呀有呀书店	￥68.00	中信出版集团	吉竹伸介	https://item.jd.com/12408253.html	https://img13.360buyimg.com/n1/s200x200_jfs/t24994/321/280006535/258474/bb3864c3/5b6a9f65Naa948a12.jpg
