性格的力量：哈佛、牛津大学双料心理学导师的性格优化指南！	￥41.20	中国友谊出版公司	(美)威廉·麦独孤	https://item.jd.com/12575989.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/119744/20/7698/411008/5ed70be5Edf2721a6/325ba5a7257c1cf3.jpg
乐嘉性格色彩杂谈：色眼看世界	￥36.80	浙江文艺出版社	乐嘉	https://item.jd.com/12618687.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/104541/29/9699/164050/5e12ed30Ed4d5e9b2/5a1bbce25f61c85d.jpg
本色乐嘉作品（2019全新完整版）	￥51.30	北京理工大学出版社	乐嘉	https://item.jd.com/12548698.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/7634/40/15910/193549/5c764a00Ed14e528c/aa49f29c0539dcba.jpg
开悟者眼中的生命真相（全新修订本）	￥69.00	中国青年出版社	美	https://item.jd.com/12852316.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/119482/7/871/299588/5ea04e34Eae9d8f7c/ea34f32d5517304a.jpg
乐嘉性格色彩·写给恋爱的你（乐嘉2018重磅新书，道破把爱修成正果的秘密）	￥44.50	天津人民出版社	乐嘉	https://item.jd.com/12461388.html	https://img13.360buyimg.com/n1/s200x200_jfs/t27790/350/1185664852/153842/cb01c78b/5bc4614dN49314e2c.jpg
色眼再识人	￥48.00	湖南文艺出版社	乐嘉	https://item.jd.com/11796423.html	https://img13.360buyimg.com/n1/s200x200_jfs/t2539/257/20997432/205845/6ea5f80c/563309f5N51e2c833.jpg
色彩性格心理学：1秒看懂他人改变自己	￥51.00	浙江人民出版社	【日】波波工作室	https://item.jd.com/12692122.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/61026/10/7999/218762/5d5f9556E1e4fa7dd/396ff458600841ba.jpg
正版现货乐嘉性格色彩·写给恋爱的你（乐嘉2018重磅新书，道破把爱修成正果的秘密）	￥18.00	天津人民出版社	乐嘉	https://item.jd.com/34598390450.html	https://img10.360buyimg.com/n1/s200x200_jfs/t26749/270/1280013115/258225/9d82a5f2/5bc5609eN458c45f2.jpg
【包邮】乐嘉的书乐嘉精心调配的浓缩精华漫画本跟乐嘉学性格色彩Ⅱ定价39.8	￥22.80	中国华侨	乐嘉	https://item.jd.com/10033541533592.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/184903/34/13065/64540/60e57ee7E6eac72ae/d2ee41dac80aac98.jpg
本色心理学入门基础书籍乐嘉性格色彩心理学与生活心理书籍心里学书读心术一个屌丝的成功之路本色(2019全新完整版)	￥19.50	北京理工大学出版社	乐嘉	https://item.jd.com/54747874786.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/73145/7/7155/96399/5d53a9c7E2bc82741/7149b8e1e66aaba5.jpg
性格的力量	￥40.00	商务印书馆	(美)詹姆斯·希尔曼	https://item.jd.com/12655771.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/124847/15/2383/86131/5ec51515E9bbb1e1c/164940cb375e0d16.jpg
【新书现货】本色乐嘉作品（2019全新完整版）性格色彩学	￥23.00	北京理工大学出版社	乐嘉	https://item.jd.com/52112651119.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/33923/14/15971/114331/5d257ed0Eaad8a230/76f5e6bfb1ef8329.jpg
乐嘉性格色彩套装4册色界+淡淡+色眼再识人+写给单身的你大众心理学书籍	￥116.00	湖南文艺出版社	乐嘉	https://item.jd.com/31945696058.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/221513/33/2106/484283/618b6799E2a4ee0d2/1ca996f1c2ae288e.png
【包邮】乐嘉的书乐嘉精心调配的浓缩精华漫画本写给单身的你定价39.8	￥15.00	中国华侨	乐嘉	https://item.jd.com/10033541533593.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/213168/27/2979/195574/61824f2eEa60976c8/c4956809b6184e22.jpg
色眼再识人（新版）乐嘉心理学通俗读物2015新版，乐嘉潜心逐字修订、增补案例	￥24.00	湖南文艺出版社	乐嘉	https://item.jd.com/10040317445.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/166110/11/23251/202945/61cee601Ec7cc8e9b/f679a9c016154f4e.png
开悟者眼中的生命真相杰德麦肯纳著张德芬推荐灵性开悟自我完善青少年成功励志心理学书籍做自己的医生	￥43.80	中国青年出版社	杰德·麦肯纳	https://item.jd.com/54220508448.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/169129/36/17645/173066/6073a510E1720c2b2/fa5e126cd871795d.jpg
性格的力量	￥30.79	中国友谊出版社	(美)威廉·麦独孤WilliamMcDougal	https://item.jd.com/57773110520.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/76461/19/11380/56984/5d8c820fEf8bc3193/35c188258c36d2f3.jpg
【包邮】乐嘉的书乐嘉精心调配的浓缩精华漫画本和谁都能聊得来定价39.8	￥19.00	中国华侨	乐嘉	https://item.jd.com/10033541909711.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/142346/5/21910/177176/6183aab1E2df19392/333824cccb33a767.jpg
爱难猜	￥36.00	浙江文艺出版社	乐嘉	https://item.jd.com/11253528.html	https://img13.360buyimg.com/n1/s200x200_g14/M03/02/17/rBEhV1HKWB4IAAAAAAtxWiasT84AAAiUALNmQkAC3Fy036.jpg
