电工电路识图、布线、接线与维修从零基础到实战（图解·视频·案例）	￥75.80	中国水利水电出版社	图说帮	https://item.jd.com/13203512.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/171728/32/3865/178405/60754f0fE60f7f650/fc5f4843e433c1f6.jpg
包邮正版零基础学习电工电路实物接线图书籍自学教材教程电工证手册彩图基础知识入门资料接线线路图宝典	￥69.80	机械工业	机电维修孔师傅	https://item.jd.com/65376000714.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/173619/14/23836/122959/61b86d90E388429f5/44f26d8356f3e224.jpg
电气工程师学习手册（套装上下册）上册电气工程基础+下册高级应用电气自动化技术+双色图解+教学视频	￥258.00	化学工业出版社有限公司	蔡杏山	https://item.jd.com/12559741.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/53118/13/7154/591682/5d4bde5dE197f4c45/8ec5c044a27bef2c.jpg
电工从入门到精通（全彩图解+视频教学）	￥84.20	化学工业出版社	吴瑛	https://item.jd.com/12124905.html	https://img10.360buyimg.com/n1/s200x200_jfs/t5878/325/5828949220/544180/33c0c223/5965941dN23fb24a5.jpg
现货速发2021年新标DL/T596-2021电力设备预防性试验规程电力设备预防性试验规范代替DL/T596-1996	￥76.00	中国电力出版社	无	https://item.jd.com/59687444397.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/138757/19/20604/99114/6195bbf7E9a2dff30/f6d7b254ef6d2a47.png
电路设计、仿真与PCB设计：从模拟电路、数字电路、射频电路、控制电路到信号完整性分析	￥84.20	清华大学出版社	崔岩松	https://item.jd.com/12686772.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/181128/1/19741/149361/611b774eE8f8976fb/0ef546dc85f1b7f0.jpg
水电工施工从入门到精通	￥84.20	化学工业出版社	吴瑛	https://item.jd.com/12875572.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/121205/20/2486/341220/5ec614ecE4a08f86a/e59c276ddca2b299.jpg
工业与民用供配电设计手册第四版第4版套装上下册供配电考试手册参考书电气施工安装和运行维护人员的常用资料	￥236.10	中国电力出版社	中国航空规划设计研究总院有限公司组编	https://item.jd.com/11341747414.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/189148/15/1424/208035/6091a0b9Eb93f9195/ec08a68abb24212c.jpg
锂电池科学与技术（精装、国外引进、高水平著作）	￥132.30	化学工业出版社	克里斯汀·朱利恩（Christian	https://item.jd.com/12336466.html	https://img11.360buyimg.com/n1/s200x200_jfs/t19351/138/1423761313/612850/d0cae195/5ac98943N30665bf4.jpg
电气控制线路：基础·控制器件·识图·接线与调试（彩色图解+视频讲解）	￥91.80	化学工业出版社	吴瑛	https://item.jd.com/12651475.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/119659/39/3782/362273/5eb2602bEfe9cfea4/4f650fb8cafef297.jpg
开关电源控制环路设计	￥124.30	机械工业出版社	(法)克里斯多夫·巴索（ChristopheBasso）	https://item.jd.com/12766398.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/86954/12/4712/136339/5de8942eE4f019557/ca02eb3490cb2b5e.jpg
家装水电工识图、安装、改造一本通	￥89.80	化学工业出版社	袁宝生	https://item.jd.com/12795996.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/98068/35/9959/463662/5e167b6cE8d49794a/7609dbf753295619.jpg
西门子S7-1200PLC编程及使用指南（第2版）	￥98.20	机械工业出版社	西门子（中国）有限公司	https://item.jd.com/12984274.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/136875/17/10887/110374/5f6c57f1E0be59120/948297fd28857a64.jpg
西门子PLC从入门到精通（扫码获取应用资料双色图解+100多个应用案例+实战讲解）	￥108.00	化学工业出版社	刘振全	https://item.jd.com/12349712.html	https://img12.360buyimg.com/n1/s200x200_jfs/t18544/275/2236859615/363300/a9d90e8e/5aebcf23N89ac2988.jpg
模拟电子技术基础：系统方法	￥110.60	机械工业出版社	(美)托马斯·L.弗洛伊德（ThomasL.Floyd）	https://item.jd.com/11716705.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1600/264/503521507/293703/f99d1c4e/558d1e93N13bb0a30.jpg
从零开始学万用表检测、应用与维修	￥66.30	化学工业出版社	珩	https://item.jd.com/12483808.html	https://img13.360buyimg.com/n1/s200x200_jfs/t27814/278/1807092681/614007/91f78a1b/5bee231eNb40374f0.jpg
工业运动控制:电机选择、驱动器和控制器应用	￥56.90	机械工业出版社	(美)哈肯·基洛卡（Hakan	https://item.jd.com/12405788.html	https://img13.360buyimg.com/n1/s200x200_jfs/t22591/229/1229855707/93621/bd04f500/5b56b9f2N3af43617.jpg
