名著导读考点精练（全2册）中考必考名著考点：选读名著24部+必读名著12部（赠送精题精练）	￥87.00	吉林大学出版社	张丽敏	https://item.jd.com/13387854.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/194606/10/18278/166818/611b2148E0d3ef0b7/b6f30bb5d53d6120.jpg
2021-2022年中考满分作文特辑(共2册)5年中考优秀作文书初中作文素材写作技巧训练名校模考真题	￥42.60	湖南教育出版社	王大绩	https://item.jd.com/13382200.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/202278/19/645/229825/61123544E524744d9/2079e9bed7c18b3b.jpg
2022初中现代文阅读技能三阶训练万唯中考语文专项训练阅读理解全国人教版七八九年级初三总复习资料书	￥55.00	西安出版社	武泽涛	https://item.jd.com/31767112402.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/222717/18/7336/406992/61c98911E5a612173/cc66d50af6cd03d4.jpg
曲一线5年中考3年模拟中考地理北京专用2022版中考总复习五三	￥46.80	首都师范大学出版社	曲一线	https://item.jd.com/12908681.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/94880/2/15647/108908/61026838E58a9df0c/a7751b7d95bf1817.jpg
最新五年中考满分作文2021-2022年度中考满分作文/提升写作能力从容应对中考（套装共2册）	￥35.44	民主与建设	李继勇	https://item.jd.com/12929601.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/186433/4/20232/151678/61273ae9Ef60c0fd6/4b5545b3c5c2d0f6.jpg
曲一线5年中考3年模拟中考数学北京专用2022版中考总复习五三	￥63.80	教育科学出版社	曲一线	https://item.jd.com/12908679.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/190670/7/15510/110008/61026732E1b043af0/4bb0ec6181289773.jpg
曲一线5年中考3年模拟中考物理北京专用2022版中考总复习五三	￥56.80	教育科学出版社	曲一线	https://item.jd.com/12908677.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/193763/38/15023/109057/61026865E3f3ce552/ca11e4d470947e29.jpg
曲一线5年中考3年模拟中考历史学生用书全国版2022版中考总复习五三	￥46.80	教育科学出版社	曲一线	https://item.jd.com/13372510.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/184057/6/16564/108676/61024eb0Ed8ced7be/852d6ce6d745cbb7.jpg
曲一线5年中考3年模拟中考英语北京专用2022版中考总复习五三	￥63.80	教育科学出版社	曲一线	https://item.jd.com/13372526.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/200468/28/349/109834/61026707E098b3b27/21450759e93db09e.jpg
曲一线5年中考3年模拟中考物理学生用书全国版2022版中考总复习五三	￥53.80	教育科学出版社	曲一线	https://item.jd.com/13372490.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/184637/6/16398/109026/61024ee4Eb35240ec/b51e739656461c40.jpg
2022中考英语词汇闪过（紧扣真题回归教材赠中考易混词汇辨析）	￥69.80	陕西人民教育出版社	王平	https://item.jd.com/12868408.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/190531/6/17927/141226/61134946E9484bf03/04aea9f399ebda45.jpg
曲一线5年中考3年模拟中考历史北京专用2022版中考总复习五三	￥46.80	首都师范大学出版社	曲一线	https://item.jd.com/13372476.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/180547/24/16585/108561/61026764Ec929f1aa/c5a6b42951dda887.jpg
2022万唯中考数学真题分类卷试卷历年真题卷全国中考初二初三试题汇编精选专项分类训练数学万维	￥46.30	陕西科学技术出版社	武泽涛	https://item.jd.com/30939018350.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/221529/23/7220/414645/61c9890fEe0b278a9/7fd4afd4dc95f29c.jpg
曲一线5年中考3年模拟中考数学学生用书全国版2022版中考总复习五三	￥59.80	教育科学出版社	曲一线	https://item.jd.com/12908687.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/177845/21/16417/109996/61024d19E41a90666/2b81770962ab8173.jpg
曲一线5年中考3年模拟中考英语学生用书全国版2022版中考总复习五三	￥59.80	教育科学出版社	曲一线	https://item.jd.com/13372518.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/194747/31/15347/109887/61024c9eE4d686ddd/76f21137d9adcbd8.jpg
新东方中考英语语法强化训练1000题初中语法语法专项练习初中语法1000题	￥36.00	浙江教育出版社	新东方考试研究中心	https://item.jd.com/12420678.html	https://img13.360buyimg.com/n1/s200x200_jfs/t23923/314/1903097573/276396/57d3b276/5b6d50b3N8e7b58b7.jpg
曲一线5年中考3年模拟中考语文北京专用2022版中考总复习五三	￥63.80	教育科学出版社	曲一线	https://item.jd.com/13372478.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/191698/4/15428/109402/610267daE84787af8/b119d4fa3ba4be7c.jpg
曲一线5年中考3年模拟中考化学学生用书全国版2022版中考总复习五三	￥46.80	教育科学出版社	曲一线	https://item.jd.com/13372534.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/191440/27/15454/108514/61024cc4E395a4737/8f3b6a7cca62d39e.jpg
2022初中文言文阅读训练万唯中考语文课外阅读理解初三七八九年级专项试题精选研究总复习资料万维旗舰店	￥52.60	陕西新华出版传媒集团陕西旅游出版社	武泽涛	https://item.jd.com/31649360215.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/146971/35/24965/305971/61c98910Ee0398bcd/81652d11209b5b8b.jpg
