全套4本小学一年级上册同步描红练字帖拼音笔画生字写字课课练习册人教部编统编版	￥33.80	现代教育出版社	辑室	https://item.jd.com/12662391.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/130158/28/358/407109/5ecc84a8E2346ac33/b1b5621c29444b34.jpg
53天天练小学语文一年级上册RJ人教版2021秋季含答案全解全析课堂笔记赠测评卷	￥38.80	教育科学出版社	曲一线	https://item.jd.com/13324742.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/182967/25/10876/122578/60d42cd5Ee7d37707/38671a794fa51978.jpg
一年级试卷上册语文+数学(2册)人教版寒假衔接小学生1年级同步训练单元月考+专项卷+期中期末测试卷	￥29.30	湖南教育出版社	开心教育研究中心	https://item.jd.com/12554100.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/159186/19/3519/360717/60092c60E06067f2f/4daeb351be10e091.jpg
53天天练小学数学一年级上册RJ人教版2021秋季含口算大通关答案全解全析赠测评卷	￥38.80	教育科学出版社	曲一线	https://item.jd.com/12868611.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/196785/5/7185/118725/60c1c8d1E6bc91e22/82502ef98cecdad6.jpg
一年级试卷上册语文+数学部编人教版小学生1年级期中期末冲刺100分测试卷（全套2本）	￥25.90	开明出版社	汉之简	https://item.jd.com/12735123.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/130111/1/17623/295457/5fc1eed1Eb58f9095/adca8de7a0a757bf.jpg
口算题卡一年级上下册（共2册）寒假衔接口算大通关心算速算天天练小学生数学思维训练100以内加减法	￥34.20	江西人民出版社	开心教育研究中心	https://item.jd.com/12908416.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/152052/33/16208/350290/6014cacfEf747400c/d090dca8328f8b3a.jpg
一年级上册同步训练语文+数学（共2本）人教部编版随堂练习册课课练作业本	￥37.93	河南美术出版社	张海艳	https://item.jd.com/13320220.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/204751/11/5526/194501/615ea38cEa869254d/68e002487f5a3132.jpg
口算题卡一年级上册计时测评口算大通关心算速算天天练小学生1年级同步教材数学思维训练	￥17.60	世界图书出版公司	千玺文化	https://item.jd.com/12765045.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/180420/1/5760/176142/60ac950aEaaeae92f/8ef9ffda63d5127e.jpg
2021新版小学一年级上册试卷测试卷全套2本语文数学人教版部编版尖子生密卷单元月考专项卷子期中期末	￥25.90	开明出版社	汉之简	https://item.jd.com/12849620.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/171863/11/19977/181291/60f246edE62ecdea7/d85c6dbc6043de62.jpg
53天天练同步试卷53全优卷小学语文一年级上册RJ人教版2021秋季根据最新统编教材编写	￥32.00	西安出版社	曲一线	https://item.jd.com/12876675.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/189623/15/10011/83532/60d42fadEe81ab2f5/94f9eade4f0a19ce.jpg
汉之简一年级上下册数学口算题卡10000道天天练每天100道计算题练习册	￥35.60	开明出版社	汉之简教学资源编辑室	https://item.jd.com/12630215.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/199607/35/15751/164923/61837595E066d64b1/948cde51a695a7ef.jpg
新版课外阅读理解一年级上下册通用小学语文课外阅读同步专项强化训练习人教部编版通用彩绘版全一册	￥26.80	开明出版社	汉之简	https://item.jd.com/12819940.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/121600/19/2051/225699/5ec22565Ecd8588f3/15bd4395b61e7c4f.jpg
一年级下册试卷人教版语文+数学黄冈尖子生密卷期中期末冲刺100分单元专项测试卷全套	￥25.90	开明出版社	汉之简	https://item.jd.com/12819938.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/43184/34/16693/181223/60f25311Ea3ec2fb8/ea521a48bc344139.jpg
53天天练同步试卷53全优卷小学数学一年级上册RJ人教版2021秋季	￥32.00	西安出版社	曲一线	https://item.jd.com/13303632.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/189397/26/6330/56897/60b87bb6Ea71efac9/b8a4f93a9e18ae41.jpg
2021年秋季黄冈小状元·达标卷一年级语文（上）人教版	￥24.00	龙门书局	万志勇	https://item.jd.com/13318422.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/178569/29/9646/622744/60cb24bfE2adcaa09/eeec4e0c9f0b4490.jpg
2021新版数学专项训练一年级全一册同步训练认识人民币找规律练习题教具纸币票样学生用元角分换算挂图学具	￥12.20	开明出版社	汉之简	https://item.jd.com/12632909.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/87677/19/15506/150734/5e719920E06390333/b112cd8d31550a9e.jpg
一年级看图说话写话训练(共3册)人教版小学语文专项练习小学生作文起步阅读理解1年级上册寒假衔接下册	￥45.00	湖南教育出版社	开心作文研究中心	https://item.jd.com/12824326.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/159593/17/2270/642793/5ff7f41cEa7e111a8/3504406dc54c2e04.jpg
一年级上册语文+数学（共2本）期末总复习模拟考试卷期末冲刺100分	￥28.03	甘肃少年儿童出版社	张海艳	https://item.jd.com/13013891.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/197962/28/18694/180142/61a57e06E6c92eb65/9ab3d818696ee514.jpg
小学一年级上册口算题卡10000道每天100道计时训练1年级上口算速算心算应用题天天练习册	￥17.80	开明出版社	汉之简教学资源编辑室	https://item.jd.com/12692011.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/223249/11/1118/127189/61822481Ea57bd388/da953118b80d25fc.jpg
