中级经济师2022教材+历年真题试卷环球网校人力资源专业4本	￥83.60	广东人民出版社	环球网校经济师考试研究院	https://item.jd.com/13033347.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/173821/27/23581/236147/61ce4dc9E9625e078/8bfe048fb2eedd8b.jpg
黄冈小学生优秀作文等（套装全10册）幽微的人性朝旭文化编写组育儿书籍犯罪心理画像理论心	￥128.00	延边大学出版社	朝旭文化编写组	https://item.jd.com/10021264800696.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/98890/3/19369/448018/614055fbEf978c11c/41e5b6c24d8b06d1.jpg
高顿教育2022版特许金融分析师CFA一级考试备考2022中文教材notes注册金融分析师CFA一级中文教材	￥193.50	立信会计出版社	高顿财经研究院	https://item.jd.com/12992528.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/198879/8/19912/185848/61b17420Ebf530eae/4f300cdf0a5cd4b4.jpg
备考2022中级经济师教材经济基础知识（中级）2021版中国人事出版社	￥74.00	中国人事出版社	人力资源和社会保障部人事考试中心	https://item.jd.com/12647638.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/215173/37/3024/167300/61838781Ec48a8f34/280d05cf05108b2f.jpg
备考2022中级经济师教材工商管理专业2021教材套装（共2册）经济基础知识+工商管理2021教材?2021年版中国人事考试中心	￥148.00	中国人事出版社	人力资源和社会保障部人事考试中心	https://item.jd.com/12919900.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/144280/24/22062/201451/61838b95E40650102/b217a5c661f5a048.jpg
备考2022中级经济师2021教材+环球真题工商管理（套装8册）中国人事出版社送视频题库	￥184.40	中国人事出版社	人力资源社会保障人事考试中心	https://item.jd.com/12391931.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/182648/33/16291/210684/6100f562E8cecee13/7050159013d47f9f.jpg
备考2022中级经济师教材人力资源管理专业2021教材套装（共2册）经济基础+人力2021教材?2021年版中国人事出版社	￥148.00	中国人事出版社	人力资源和社会保障部人事考试中心	https://item.jd.com/12690227.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/171469/39/22773/203841/61838b7dE4fb31368/019426f6147fc6cc.jpg
备考2022中级经济师教材金融专业2021教材套装（共2册）经济基础知识+金融2021教材?2021年版中国人事出版社	￥148.00	中国人事出版社	人力资源和社会保障部人事考试中心	https://item.jd.com/12919858.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/206842/1/8151/201250/61838b66Ea1515ff4/a4d842c64a2b84a2.jpg
备考2022中级经济师2021教材+环球真题人力资源管理（套装8册）中国人事出版社送视频题库	￥184.40	中国人事出版社	人力资源社会保障人事考试中心	https://item.jd.com/12391929.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/180523/14/16367/213570/6100f5deEc332f93e/a3f135ce1988201d.jpg
备考2022初级经济师教材经济基础知识（初级）2021版中国人事出版社	￥74.00	中国人事出版社	人力资源和社会保障部人事考试中心	https://item.jd.com/12647594.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/155756/23/22500/162570/61838081E2dc44126/ec40e318633f3b35.jpg
备考2022高级经济师2021版教材高级经济实务（工商管理）全国经济专业技术资格考试参考用书2021版中国人事出版社	￥82.80	中国人事出版社	人力资源社会保障部教材办公室	https://item.jd.com/13130830.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/62108/8/16984/152539/6139be54E34d14397/6553214cb66af119.jpg
