【2021新版】避税1+2套装2册无限接近但不逾越+唯一安全的方法	￥41.00	东方出版社	邱庆剑	https://item.jd.com/10026068088769.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/162602/24/9183/94971/603f6244E7f01a664/aaa1302fb4e70d9f.jpg
轻松过关42021年税务师职业资格考试最后四套题税法2	￥31.70	北京科学技术出版社	张泉春	https://item.jd.com/13421466.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/108346/11/17466/63184/61443effE573e94cc/d750c3a90aafb3b2.jpg
轻松过关42021年税务师职业资格考试最后四套题涉税服务相关法律	￥31.70	北京科学技术出版社	陈小球	https://item.jd.com/13421468.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/200955/28/7287/65152/61443d2aE29ae908d/a11a9b8be1c63e9f.jpg
东奥会计轻松过关12021年税务师职业资格考试应试指导及全真模拟测试涉税服务相关法律	￥92.80	北京科学技术出版社	东奥会计在线	https://item.jd.com/13217186.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/174448/18/20518/77126/60f53c32E2a31987f/21bd98b42c011bcf.jpg
税务师2021教材涉税服务相关法律冲刺通关必刷8套模拟试卷中华会计网校梦想成真	￥21.00	中国商业出版社	赵俊峰	https://item.jd.com/13038486.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/181161/27/13351/120743/60e7fa91E855b0e3e/01c541c274023d0e.jpg
税务师2021教材涉税服务实务冲刺通关必刷8套模拟试卷中华会计网校梦想成真	￥21.00	中国商业出版社	编	https://item.jd.com/13038482.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/193252/33/12409/145970/60e7f9adE57d1e078/f9b2cdf2b0782de9.jpg
轻松过关42021年税务师职业资格考试最后四套题涉税服务实务	￥31.70	北京科学技术出版社	美珊	https://item.jd.com/12941115.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/198719/25/8769/68435/61442921Ef69fe248/d5106d9e7e16179a.jpg
东奥会计轻松过关12021年税务师职业资格考试应试指导及全真模拟测试涉税服务实务	￥81.80	北京科学技术出版社	东奥会计在线	https://item.jd.com/13217202.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/175405/9/20347/77233/60f53b89E8de0165f/f10b8f46704db47e.jpg
轻松过关42021年税务师职业资格考试最后四套题税法1	￥31.70	北京科学技术出版社	刘颖	https://item.jd.com/13421454.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/205148/8/6612/60505/61443f6eEdbfc3ee7/70c7ff6abb862ab5.jpg
税务师2021教材税法一冲刺通关必刷8套模拟试卷中华会计网校梦想成真	￥21.00	中国商业出版社	编	https://item.jd.com/12769225.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/186869/6/12363/138878/60e7f187Ecc28b4ba/b43bcdf78c8fc2d6.jpg
东奥会计轻松过关12021年税务师考试应试指导及全真模拟测试税法Ⅱ	￥69.20	北京科学技术出版社	东奥会计在线	https://item.jd.com/12835821.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/175307/7/19948/62708/60f53ca7E557530e2/4e1a4a2c21e554e2.jpg
税务师2021教材税法二冲刺通关必刷8套模拟试卷中华会计网校梦想成真	￥21.00	中国商业出版社	徐	https://item.jd.com/13038470.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/36294/38/15499/101812/60e7f820E88f61ec7/6d679a05658f15c9.jpg
税务师2021教材财务与会计冲刺通关必刷8套模拟试卷中华会计网校梦想成真	￥21.00	中国商业出版社	陈	https://item.jd.com/12769241.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/179153/8/13687/141850/60e7f413Ec316cea4/705668002b87795a.jpg
2021年税务师教材考试辅导书注税涉税服务相关法律必刷550题备考学习过关中华会计网校	￥27.00	中国商业出版社	编	https://item.jd.com/12794251.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/194399/2/12360/88924/60e7f6f1E36c155e6/daf1d08c6ced9408.jpg
高顿教育税务师考试中国税务出版社出版税务师考试备考2022税务师教材税务师做题有套路·税法（II）中国税务出版社	￥19.90	中国税务出版社	高顿财经研究院	https://item.jd.com/13264316.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/181262/40/3329/98790/6098e2e7E5a0a6048/70835c1161b40b1c.jpg
轻松过关42021年税务师职业资格考试最后四套题财务与会计	￥31.70	北京科学技术出版社	华健	https://item.jd.com/13421436.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/87301/40/19503/65231/61443edbEdcfc3658/f36f33582c0d2371.jpg
