书是正版书籍，印刷清晰，包裹结实，没有倒装错印，内容很好，正在阅读中。	质量过关，品质保障，物美价廉！	电视剧《天道》看到一半，很吸引人，决定看原著小说《遥远的救世主》。用了下班后三天晚上和周六全天，追剧完毕。电视剧到最后，欧阳雪失神地望着，丁元英和韩楚风坐进宝马车里，汇入马路上的车流中消失了，自语：大哥，你又要挨骂了。剧终，戛然而止。电视剧的还原度很高，场景，表情，氛围，演员与小说人物的高契合度。准备看完小说，再看一遍《天道》。书收到后，买的是豆豆经典作品集～套装2册，《遥远的救世主》和《天幕红尘》，赶上自营图书活动&ldquo;满100减50&rdquo;活动，又挑选了一本追逐梦想之书《孤独小说家》。自营图书质量有保障，包装完好，印刷字迹清晰，字体纸张都不错，应该是正版图书。	快递很快包装很好没有联系直接拍下。东西很赞，是看电视剧的时候评价豆豆的书才买来看的，很赞，书的纸张质量不错，书内字印刷清晰，排版也挺舒服。一套书价钱还可以，优惠半价。推荐。快递员态度超赞，送货及时。	很不错的挺好的书，学习下这个书的知识，很多人说书和电视剧差距不大。看了才知道大不大。书才是精神粮食！！！！！	书本纸张质量不错，印刷也很好	豆豆的这本天幕红尘和遥远的救世主一样非常好看，和一般的小说不一样，令人久久回味，久久思考。感谢京东让我们方便又实惠的购买精神食粮。	快递很快，朋友推荐买的，应该是不错的	印刷非常精美，是正版书挺好的。	送货速度很快，包装严实、正规、考究，商品保护的很好，该款商品的性价比很高，大品牌质量就是可靠，选材地道，品质正宗，使用方便效果好，设计大方得体，比去超市卖场实体店购买方便多了，京东买我放心，值得推荐！	
刚刚收到货，一如既往的快，而且包装结实时隔八年，余华全新长篇《文城》重磅归来！最熟悉的还是余华的《活着》《文城》是关于一个人和他一生寻找的故事。他在命运的浪涛里寻找，在时代的洪流里寻找，在人性的善恶里寻找，在生活剥夺和酬谢里寻找&hellip;&hellip;这也是关于一群人和一个汹涌年代的故事。历史的洪流推着每个人做出各自的选择。这是一个荒蛮的年代，结束的尚未结束，开始的尚未开始。这本《文城》是余华老师2021年3月的新书，这本书封面设计是淡淡的蓝紫色，图片也很唯美，是我喜欢的调调。迫不及待的打开书，字体大小也合适，很清晰，纸张也很厚实，整本书也很厚，质量很好	看过余华的很多作品，印象特别深刻的就是他的《活着》，这次意外的看到推荐说《文城》也很好看，京东买书刚好有活动，所以就买了，书的质量一直都特别好，非常喜欢	京东快递就是快啊，余华时隔八年，又一新作，很庆幸可以第一时间收到新书。书收到时全新塑封，打开以后没有任何异味，质量特别好，手感不错。好久没有读纸质书了，刚好读一读，正版好书	昨天就到了&hellip;忘了领快递。今天早上拿到书下午就在河边看了。还没完全看完,不过看到现在知道余华不会让人失望。大学看的兄弟、活着,就非常喜欢这种时代感很强的作品。时代的灰尘落在每个人头上都是一座山。谁又能逃过呢？	余华的新书，还记得看他的那本《活着》，哭惨了，看完了心里很压抑，久久缓不过来，整本书都是用很平缓的语气在慢慢诉说着，从那以后就喜欢上了这个作者，看到新书，毫不犹豫就买了，依旧是用很平缓的语气慢慢诉说着新故事，还没看完，但已经被他的文字功底折服了，用词特别好，这是网络小说做不到的。	京东物流无可挑剔，昨天下单今天就到手了，书一看就是正版，纸质光滑，字迹清晰，重要的是这是一本不可多得的好书，引人入胜的故事情节，作者深厚的文化底蕴，很久没有静下心来读完一本书，今天居然一口气就看完，仍意犹未尽，我们总是在不同时代，不同国家，不同语言的作品里读到自己的感受，甚至自己的生活，我想这就是文字的神秘力量	花一天时间读完，记得上一次读的余华老师的作品还是《第七天》。好几年过去，再次阅读余华老师的作品，依然是熟悉的味道。流畅的叙事、抓人的情节，以及让人忍俊不禁的幽默感，让你忍不住一直读下去。一个理想主义者的故事，一个值得读的好故事。京东买书很放心，下单第二天就到了，买书习惯了在京东！	京东快递就是快，收到书包装很好没有破损，一拿到书就赶紧翻开来看，此书的每一页，每一段，每一句都非常值得我们去看，文章最后写到田氏兄弟算计着日子，要在正月初一前把大哥和少爷送回家中，太好看了舍不得看完。看完这本，也不知道作业要多少年才出下一本了。	余华时隔八年，又一新作，很庆幸可以第一时间收到新书。书收到时全新塑封，打开以后没有任何异味，质量特别好，手感不错。好久没有读纸质书了，刚好这次可以认认真真读一读，正版好书，想买的小伙伴可以放心买买买了。	不愧是京东，隔天就收到了。刚收到书，就迫不及待打开看啦。精装书质量很好，印刷清晰，纸张也厚实，摸着手感就很棒。大作家余华的文笔没得说，用各个人物和事件，讲述了那个年度的故事。时代的洪流推着每个人做出各自的选择，林祥福最终找到了自己的文城，也再次遇见了小美。	
冯骥才先生的这两本书还是挺有意思的，讲的都是过去的一些佚闻奇事，读起来就非常有趣味性。孩子刚一拿上手就读个不停，津津有味喊他都不答应。另外每一篇都配有一些插图，也增添了很多趣味。多了解些过去的事，一方面增加不少见闻，另一方面也能学习如何把事情讲得更有趣，很好。	看完电视剧《天道》，非常不错，唯一不太满意的就是删减的好多，总觉得缺点什么，就买了这本书，仔细的看了一遍，和电视局对比后，觉得《天道》拍的很到位，基本和小说一样，改动的部分也非常好，要是能看到未删减版的电视剧就好了！看小说的感觉就是不一样，可以自己品味和体会，非常满意，五星好评！	京东飞一般的速度，书包装完好，活动力度大，很满意很好！	首先物流特别特别快，在就是书包装精美，拿到书，打开包装，翻开书，一股书墨香扑面而来，我深深的闻了闻，一直喜欢这浓浓的墨香，让人有莫名的沉入，太喜欢了，质量更好，正版无疑，已分享朋友圈，好东西要分享的，会关注店铺的！	听我的这本书入股绝对不亏。这本书买了还没打开，我就特别喜欢。而且这本书摸起来也是特别有质感的，里面的插画也是非常的nice。	儿子初中学校推荐的，暑假必读书，俗世奇人，非常的好看，我睡中午觉的时候，儿子已经把一本书读完了，儿子说这本书字大行稀，看着一点儿都不费眼睛，一会儿就读完了，里边的故事内容非常的有趣，孩子读着也感兴趣，不会觉得枯燥无味，以后再回来购买，这套书质量非常好，非常信赖的京东购物这套书一共两本，图片上的为其中一本，另一本儿子正在苦读中???	买回来就抓紧看了一下，书还可以，18年看的电视剧天道，相信很多人对王志文饰演的丁元英赞不绝口，当时就想买这本书，想看看原著，无奈怕买到盗版，前几天又有了这个想法，就来京东看看，结果还真有，是2020年五月第58次印的，很是惊喜，毫不犹豫下了单，第二天就送到了。书里面的内容确实要比电视剧精彩一些，这部电视剧现在依然很火，相信很多人看了不止一遍，但依然参不透，里面的经典对白是颠覆很多人人参观的，值得思考，借用里面的一句话：&ldquo;所谓神话不过是常人思维无法理解的平常事&rdquo;。这一句话，就值得我们终身学习，你的神话一定是你自己做主。我看的书不多，但这本书绝对是非常值得推荐的一本好书。下图里面智玄大师修改丁的词，相信你们不知道。	从《天道》电视剧过来，被电视剧深深吸引，必须买原著小说看看。收到书没想到这么厚一本估计的看一个星期左右，初步看了下感觉跟电视剧里面剧情相比删减了很多内容(不过人物对话好像改编的不多)；和另外电视剧改编比小说增加了一点剧情，先把小说通读一遍在和电视剧对比吧。另外赞一下京东图书周年活动优惠力度好大啊，100减50优惠在加上满1000再减150优惠券相当于0.35的折扣了超级划算哦，一次性吧之前囤积的书都给下单买了，在京东买了几次书包装都不错都是正品，以后有什么书囤积起来趁着这样的活动优惠可以节省很多钱钱哦。	天道是由豆豆三部曲遥远的救世主改变而成，非常好看，也十分精彩，让人看了还想看，尤其一些精彩对白很经典，这本遥远的救世主比天道好看多了，精彩多了，相信很多人和我一样，大家还是看看这本书相信会受益匪浅的。	以前一直买的学习或者工作上的书，第一次在京东买这种小说类的，真不错，价格便宜，纸张也不错，一次性买了好多本，最喜欢周末的早上坐在阳台上，晒着太阳，喝着茶，看着书，想想都惬意！	
京东快递很快，次日达吗，我头一天晚自习到家22点57下的单从上海发货第二天下午就到滁州了。。我是第一次买，就买了这个版本，很精致包装设计非常漂亮。本来对三体兴趣不大但B站十周年出了三体动漫的宣传片才来了兴趣，一是对科幻设定就好奇，当然还有三体的名气啦，最主要的是我想从三体中找到光，找到宇宙中的浪漫。细节很到位，毕竟我是164入的手可以说是普通版价格的3倍多了，但边角还是有没法避免的皱。内容都是一样的，如果零花钱不宽裕就选买普通版就好了。京东买书一直都很划算。外层书皮手感也超好。纸质，排版也哼舒服	这套书十分的精美，本来是买回老家准备看望爷爷时打发无聊的时间看的，结果书到了，爷爷已经不在了。书非常精美，非常感谢。装帧真的很美很美，感谢设计这套书的所有人。	很多人推荐过，在购物车躺了好久，久仰大名的科幻小说，刚好到618了，买来实惠。京东快递简直太给力，给京东快递点赞。给快递员点赞。	第2本设计很精巧，有趣?书质量很好，快递物流比例顺畅、及时。内容很丰富、引人入胜，值得推荐！性价比很高，比书店里买的优惠多了！	种草了很久的书，科幻的基石作品！因为流浪地球知道了这一套书。畅销的书，很感兴趣。书中的质量也很好，油墨印刷清晰工整。	一直在京东商城买书，每一次的体验都很好，保证正版并且价格非常实惠,打折领券巨划算。包装严实，没有损坏，每天抽时间读一读很有意义,养成看书的好习惯,现在买书也上瘾,看到合适的心里就痒,不过真的好实惠，这么多书用的买纸价！书本内容与网页上的描述基本上是一致的，封面很普通，但内容很丰富，印刷质量也不错。五星好评印刷工整，字迹清晰，内容丰富。京东物流很给力，昨天晚上下单，今天就到了。一次买了好几本，京东自营值得信赖！无论品质还是服务都没得说.	非常好?，买的2、3和在书店买的1是一套的，很精彩，富有想象力的书，值得推荐！价格比书店优惠很多，值得拥有！	看了刘慈欣老师的三体之后，就被他给圈粉了！这次京东有活动就买了他的超新星纪元来看看！书是正版，看着就舒服，手感也很好！内容方面就不过多剧透了，一个父亲写给女儿的书！！！！！现在还没有看完，看完了再做进一步的评价吧！！！！	哇赛，送货速度真快，下午下单晚上就到了，我很幸运收到的书品质很好，这下我就放心了，好评?????	买书就在京东买。买的这一版是纪念版的，然后封面印刷非常的好，是正版图书三体我觉得应该是要收藏的一部科幻巨著，是我们国家最优秀的。作家，科幻作家大刘的作品非常好的印刷京东快递非常好运，送过来没有任何的磕碰。值得收藏的一本书，我且用京东快递非常好，非常安全真的是非常棒的一本书	
中短篇小说集，言语平铺直叙，轻松好读，描述社会上各色人等，很接地气，我就遇到－位诗人金希普，描写的活灵活现，入木三分。轻质纸印刷，虽然是精装书可读起来很方便。	下午刚刚收到莫言晚熟的人这本书，打开包装完整，书没有任何损坏。拆开后质量还不错，书的纸张颜色对眼睛有保护，非常好。推荐购买，双12价格给力，点赞！	书很好，原装正版没问题，在京东买书好几年了，都是正版，这本书是莫言的短篇小说集，写的很不错，著名作家和普通作家确实有区别，好的作家写的东西很吸引人，水平一般的作家看着就打瞌睡	等了很长时间，终于在京东商城上找到了这本书，下单之后不到12个小时就收到了这本书，京东快递真是没得说。这本书的包装很完好，书页完整，内容详实，弘扬了文字的美学。	我是京东商城的忠诚老客户了，与京东商城结缘好多年了。也已经记不清有多少次在京东商城上购买图书和其他物品了。在京东商城上网购的另外一个体验就是京东商城的物流实在是太快了，对于我这样一个居住在新疆比较偏远地区的客户来说，京东商城不仅仅是包邮，而且是十分的快。另外一个感觉就是京东物流的快递员服务态度十分不错，每次都能够做到热情周到，送货上门，有时候没有及时接电话，快递员就会发短信及时提醒收货，让人十分满意，忍不住要给好评！这次依然是全五分好评。	文字总是让我们无法自拔，书读得越多，总会发现很多特别美好的事情。	非常精美的一套书！装帧设计淡雅，纸张一流，影印非常清晰，真正的布面精装，有硬盒护套，一印3000套，实乃收藏佳品！人民文学出版社的精装书绝对精品，感谢京东优惠活动！	非常不错的书籍，莫言新出的书，比较期待的作品，看到了诗人金希普这个章节，满意。	很喜欢莫言晚熟的人，很好看，质量也很好包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?晚熟的人	在京东买书已经很长时间了，每次都很满意，尤其是出现问题的时候，解决的很快，也很令人满意，京东图书的质量没得说，绝对的正品	
看了好久，终于买回家了，才回来就开始看了，其他书先放一边，把这个先看看，开头就很有意思，后面应该更好看！书的质量也很好，封面设计漂亮，正版图书。自从在京东买就把以前买的那个app删了。	书的质量非常好，是正版书，值得入手品读	质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买特别特别特别好，没有任何破损的地方，外观也好看，好评！	书不错包装精美硬壳封面，满减活动买的很实惠，实体书现在看的很少的都是看电子版的，买实体的书就是为了留念，京东快递就是快这是我最喜欢的地方，我也算是京东铁杆用户了，家里大大小小的东西都是京东购买不管是吃的喝的还是家用电器电子产品都是京东购买，只要京东有的我全部都在京东买，京东正品有保障，送货又快直接送到家门口，超市都不用去了，不然去超市找个停车的地方都困难的很，东西不错	经常在京东自营买书，优惠券多多，价格实惠，买了许多想买的书，增长了知识，扩大了知识面。有工作上使用的书，也有小朋友的课本和参考资料，也有给老人家买的喜欢的书。不管是给自己买，还是给在异地的家人和朋友，都能很快收到，买的放心，京东自营发货和物流很给力，信赖京东，好评！！！！！！	质量：没的说，漂亮正版。价格：主要是书的内容，喜欢就买，值得收藏的书。物流：京东物流就别说啥了，牛皮。性价比：非常高。其他：经典著作，非常喜欢，每次读都是一种精神升华，值得推荐给大家，好的著作就是值得分享。	京东上的自营图书还是很不错的，经常会出现打折促销之类的活动，一直以来还是很喜欢在京东上购物的，书单也是收藏了不少，这次又一下撸了三本有时间了会慢慢看，浮躁的社会各种各样的社交讯息太多，让你很难沉下心来回归到最纯粹的学习方式上去&hellip;多拿起书本回归到最初的阅读上来也是种充实的精神放松，真的不错&hellip;	突然想一个人静静地呆着看看书，马上到京东上购买了书，真是太方便了。这本书的质量很好，纸张够厚，行距适中，印刷清晰。封面是硬皮的，所以拿起来看书是很方便的。物流运输按时送达，包装用心，完好无损，快递小哥服务态度好。	趁双十一活动赶快屯点书。参加了满100减50，叠加减60的活动，再加上用京豆抵现减了40元，一共花了110块买了一套6本的鱼羊野史和其他4本书，超值了。京东物流速度还是挺快的。包装完好没有破损。木前还没有拆包装，外观上看还不错，希望内页也不会让人失望。等有时间了打开来慢慢阅读。	听很多人推荐过这本书，自己也试听过电子书，很感兴趣，还是买了纸质书来看，纸质很好是微微黄的那种，不是很黄，看着眼睛很舒服，字迹清晰，正版无疑了，精装本看完还可以收藏，来京东买书就对了	
冯骥才先生的这两本书还是挺有意思的，讲的都是过去的一些佚闻奇事，读起来就非常有趣味性。孩子刚一拿上手就读个不停，津津有味喊他都不答应。另外每一篇都配有一些插图，也增添了很多趣味。多了解些过去的事，一方面增加不少见闻，另一方面也能学习如何把事情讲得更有趣，很好。	看完电视剧《天道》，非常不错，唯一不太满意的就是删减的好多，总觉得缺点什么，就买了这本书，仔细的看了一遍，和电视局对比后，觉得《天道》拍的很到位，基本和小说一样，改动的部分也非常好，要是能看到未删减版的电视剧就好了！看小说的感觉就是不一样，可以自己品味和体会，非常满意，五星好评！	京东飞一般的速度，书包装完好，活动力度大，很满意很好！	首先物流特别特别快，在就是书包装精美，拿到书，打开包装，翻开书，一股书墨香扑面而来，我深深的闻了闻，一直喜欢这浓浓的墨香，让人有莫名的沉入，太喜欢了，质量更好，正版无疑，已分享朋友圈，好东西要分享的，会关注店铺的！	听我的这本书入股绝对不亏。这本书买了还没打开，我就特别喜欢。而且这本书摸起来也是特别有质感的，里面的插画也是非常的nice。	儿子初中学校推荐的，暑假必读书，俗世奇人，非常的好看，我睡中午觉的时候，儿子已经把一本书读完了，儿子说这本书字大行稀，看着一点儿都不费眼睛，一会儿就读完了，里边的故事内容非常的有趣，孩子读着也感兴趣，不会觉得枯燥无味，以后再回来购买，这套书质量非常好，非常信赖的京东购物这套书一共两本，图片上的为其中一本，另一本儿子正在苦读中???	买回来就抓紧看了一下，书还可以，18年看的电视剧天道，相信很多人对王志文饰演的丁元英赞不绝口，当时就想买这本书，想看看原著，无奈怕买到盗版，前几天又有了这个想法，就来京东看看，结果还真有，是2020年五月第58次印的，很是惊喜，毫不犹豫下了单，第二天就送到了。书里面的内容确实要比电视剧精彩一些，这部电视剧现在依然很火，相信很多人看了不止一遍，但依然参不透，里面的经典对白是颠覆很多人人参观的，值得思考，借用里面的一句话：&ldquo;所谓神话不过是常人思维无法理解的平常事&rdquo;。这一句话，就值得我们终身学习，你的神话一定是你自己做主。我看的书不多，但这本书绝对是非常值得推荐的一本好书。下图里面智玄大师修改丁的词，相信你们不知道。	从《天道》电视剧过来，被电视剧深深吸引，必须买原著小说看看。收到书没想到这么厚一本估计的看一个星期左右，初步看了下感觉跟电视剧里面剧情相比删减了很多内容(不过人物对话好像改编的不多)；和另外电视剧改编比小说增加了一点剧情，先把小说通读一遍在和电视剧对比吧。另外赞一下京东图书周年活动优惠力度好大啊，100减50优惠在加上满1000再减150优惠券相当于0.35的折扣了超级划算哦，一次性吧之前囤积的书都给下单买了，在京东买了几次书包装都不错都是正品，以后有什么书囤积起来趁着这样的活动优惠可以节省很多钱钱哦。	天道是由豆豆三部曲遥远的救世主改变而成，非常好看，也十分精彩，让人看了还想看，尤其一些精彩对白很经典，这本遥远的救世主比天道好看多了，精彩多了，相信很多人和我一样，大家还是看看这本书相信会受益匪浅的。	以前一直买的学习或者工作上的书，第一次在京东买这种小说类的，真不错，价格便宜，纸张也不错，一次性买了好多本，最喜欢周末的早上坐在阳台上，晒着太阳，喝着茶，看着书，想想都惬意！	
书是正版书籍，印刷清晰，包裹结实，没有倒装错印，内容很好，正在阅读中。	质量过关，品质保障，物美价廉！	电视剧《天道》看到一半，很吸引人，决定看原著小说《遥远的救世主》。用了下班后三天晚上和周六全天，追剧完毕。电视剧到最后，欧阳雪失神地望着，丁元英和韩楚风坐进宝马车里，汇入马路上的车流中消失了，自语：大哥，你又要挨骂了。剧终，戛然而止。电视剧的还原度很高，场景，表情，氛围，演员与小说人物的高契合度。准备看完小说，再看一遍《天道》。书收到后，买的是豆豆经典作品集～套装2册，《遥远的救世主》和《天幕红尘》，赶上自营图书活动&ldquo;满100减50&rdquo;活动，又挑选了一本追逐梦想之书《孤独小说家》。自营图书质量有保障，包装完好，印刷字迹清晰，字体纸张都不错，应该是正版图书。	快递很快包装很好没有联系直接拍下。东西很赞，是看电视剧的时候评价豆豆的书才买来看的，很赞，书的纸张质量不错，书内字印刷清晰，排版也挺舒服。一套书价钱还可以，优惠半价。推荐。快递员态度超赞，送货及时。	很不错的挺好的书，学习下这个书的知识，很多人说书和电视剧差距不大。看了才知道大不大。书才是精神粮食！！！！！	书本纸张质量不错，印刷也很好	豆豆的这本天幕红尘和遥远的救世主一样非常好看，和一般的小说不一样，令人久久回味，久久思考。感谢京东让我们方便又实惠的购买精神食粮。	快递很快，朋友推荐买的，应该是不错的	印刷非常精美，是正版书挺好的。	送货速度很快，包装严实、正规、考究，商品保护的很好，该款商品的性价比很高，大品牌质量就是可靠，选材地道，品质正宗，使用方便效果好，设计大方得体，比去超市卖场实体店购买方便多了，京东买我放心，值得推荐！	
万寿寺是小波的长篇小说，趁活动618入手，刚拆了塑封，感觉是正品，很赞	这本书的内外封皮设计制作属于上等水准，做工属于上等水准，锁线属于上等水准，内部用纸用墨字的大小间距排版属于上等水准，值得信赖，五星好评	图书质量很好，王小波的书值得收藏。满100减50很优惠。快递也很快，谢谢！	书是精装的质量非常好，名著适合买精装的。买过一直没有看，照片也没有了，活动期间值得入手，小白什么都不懂只知道囤一些好的出版社，名家名译，精装的。烟戒了了就囤一些书吧，丰富自己的生活，遇见更有生命力的场景。	纸张和印刷都不错，一样的东西都是一样好看超级喜欢，趁双十一搞活动多囤一点啦啦啦	很好的一本书，包装精美而且质量又好，一直在京东上买书，主要是书的质量和送货速度真是很不错，以后还会一如既往支持京东，多看书有益！	书的质量很好，是正版书，文字清新，王小波的书内容很通俗，很有深意，很值得推荐购买，很值得推荐阅读。京东价格很实惠很多书都在京东购买。	书的质量很好，是正版书，京东自营值得信赖，文字清新，王小波的书内容很通俗，很有深意，很值得推荐购买，京东价格很实惠很多书都在京东购买。	京东的图书已经多次购买了，这些全是京东买的，质量很好，价格很实惠，非常满意！信赖京东，信赖京东商城，希望商家多出活动，优惠购物者！会继续回购！	图书质量很好，王小波的书也值得收藏。快递很快，昨晚下单今天就收到了。	
非常不错的书籍，一个大老板推荐的，非常值得一读，京东物流配送及时，效率很高。	经常在京东买书，价格便宜，书也好，和在书店买的没有区别。买小说，学习用书都有，种类很全速度也快。买过很多书，现在觉得还是名著值得买值得保留下来，畅销书很多看一遍就回收了。	前段时间从京东购买了一本贾平凹的废都，深深为贾老师平实真切的笔头吸引和感触！然后毫不犹豫地又下单了作家出版社的秦腔，浮躁和山本，快递非常迅速，好好拜读！	贾平凹绝对是贴近生活和现实，又入目三分地好作者！看了他作品的很多评论，但是直到今天才买来看，一定好好拜读！物流很快，书的质量也很好！	发货迅速，包装很好，《暂坐》质量不错。《废都》不敢苟同。	在书店被封面吸引了，文章特别好！	京东快递速度很快，京东配送小哥态度很好?油墨气味有点臭，印刷还是清楚	很好啊，比书店的便宜好多，而且质量很好。客服也很好快递也很快	没有办法看了央视的纪录片，文学的故乡，贾平凹的最急的时候，被他的言行举止和对故乡的眷恋深深打动，所以就买了秦腔和废都两本书。整体上讲的话一定很好看，毕竟公认的质量好，整本书的印刷也还可以，价格来讲的话100减50的券，用厚的价格是比较划算的，如果你们要买的话，希望你们也这样子买，就做活动的时候买是不是最划算的	首先，书还是很不错的，作家出版社出版的，品质还是有的保证的，一开始纠结人民文学出版社的，价格差不多，那个是精装版本的，人文也是大出版社，不知道他们是怎么想的，同样的价格，来个平装和精装，好在内容是一样的，价格很实惠！	
京东快递很快，次日达吗，我头一天晚自习到家22点57下的单从上海发货第二天下午就到滁州了。。我是第一次买，就买了这个版本，很精致包装设计非常漂亮。本来对三体兴趣不大但B站十周年出了三体动漫的宣传片才来了兴趣，一是对科幻设定就好奇，当然还有三体的名气啦，最主要的是我想从三体中找到光，找到宇宙中的浪漫。细节很到位，毕竟我是164入的手可以说是普通版价格的3倍多了，但边角还是有没法避免的皱。内容都是一样的，如果零花钱不宽裕就选买普通版就好了。京东买书一直都很划算。外层书皮手感也超好。纸质，排版也哼舒服	这套书十分的精美，本来是买回老家准备看望爷爷时打发无聊的时间看的，结果书到了，爷爷已经不在了。书非常精美，非常感谢。装帧真的很美很美，感谢设计这套书的所有人。	很多人推荐过，在购物车躺了好久，久仰大名的科幻小说，刚好到618了，买来实惠。京东快递简直太给力，给京东快递点赞。给快递员点赞。	第2本设计很精巧，有趣?书质量很好，快递物流比例顺畅、及时。内容很丰富、引人入胜，值得推荐！性价比很高，比书店里买的优惠多了！	种草了很久的书，科幻的基石作品！因为流浪地球知道了这一套书。畅销的书，很感兴趣。书中的质量也很好，油墨印刷清晰工整。	一直在京东商城买书，每一次的体验都很好，保证正版并且价格非常实惠,打折领券巨划算。包装严实，没有损坏，每天抽时间读一读很有意义,养成看书的好习惯,现在买书也上瘾,看到合适的心里就痒,不过真的好实惠，这么多书用的买纸价！书本内容与网页上的描述基本上是一致的，封面很普通，但内容很丰富，印刷质量也不错。五星好评印刷工整，字迹清晰，内容丰富。京东物流很给力，昨天晚上下单，今天就到了。一次买了好几本，京东自营值得信赖！无论品质还是服务都没得说.	非常好?，买的2、3和在书店买的1是一套的，很精彩，富有想象力的书，值得推荐！价格比书店优惠很多，值得拥有！	看了刘慈欣老师的三体之后，就被他给圈粉了！这次京东有活动就买了他的超新星纪元来看看！书是正版，看着就舒服，手感也很好！内容方面就不过多剧透了，一个父亲写给女儿的书！！！！！现在还没有看完，看完了再做进一步的评价吧！！！！	哇赛，送货速度真快，下午下单晚上就到了，我很幸运收到的书品质很好，这下我就放心了，好评?????	买书就在京东买。买的这一版是纪念版的，然后封面印刷非常的好，是正版图书三体我觉得应该是要收藏的一部科幻巨著，是我们国家最优秀的。作家，科幻作家大刘的作品非常好的印刷京东快递非常好运，送过来没有任何的磕碰。值得收藏的一本书，我且用京东快递非常好，非常安全真的是非常棒的一本书	
