智慧宫005·洞穴奇案全新译文修订	￥56.00	九州出版社	(美)彼得·萨伯（Peter	https://item.jd.com/12710663.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/128114/13/9889/262025/5f3b4e07E61472124/2cc36bf3b2623b99.jpg
最高人民法院新民事案件案由规定理解与适用	￥227.00	人民法院出版社	杨万明	https://item.jd.com/13526546.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/136188/31/26627/72058/61b94ea9E3c90ec2b/fc08f2e6df99075e.jpg
2021新最高人民法院民法典担保制度司法解释理解与适用司法解释内容解读司法实践争议观点实务问题案例	￥102.50	人民法院出版社	最高人民法院民事审判第二庭编	https://item.jd.com/10029766300501.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/167186/15/20289/205671/60811b6bE00a6f054/9d539acade6f871d.jpg
企业合规管理体系实务指南（第2版）	￥105.60	人民法院出版社	郭青红	https://item.jd.com/13103334.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/171489/24/6311/232253/60224709E0bb2fe91/8e0d4c1b3ff4f971.jpg
2021新版最高人民法院新民事案件案由规定理解与适用最高人民法院研究室法官律师办案法律实务书籍	￥206.40	人民法院出版社	/	https://item.jd.com/10035984976440.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/206779/18/13050/423076/61baffa2E25d37983/b85a47f3fbf9db2b.jpg
最高人民法院新劳动争议司法解释（一）理解与适用	￥130.40	人民法院出版社	最高人民法院民事审判第一庭	https://item.jd.com/13372254.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/203729/8/687/70411/6112396cE9eccf1d1/b9843e1816a3b9d2.jpg
最高人民法院民法典担保制度司法解释理解与适用	￥122.10	人民法院出版社	最高人民法院民事审判第二庭	https://item.jd.com/13217632.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/172772/28/6470/65469/60862085Ef53ad9d7/551cd7c4b1d38cee.jpg
思维的笔迹：法律人成长之道+实战案例训练(上下套装共2册)	￥88.30	法律出版社	高云	https://item.jd.com/12616174.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/58100/15/955/324227/5ceb325eEb923f22d/6a6624aa4448cafe.jpg
《中华人民共和国民法典总则编理解与适用》（上下）	￥212.90	人民法院出版社	最高人民法院民法典贯彻实施工作领导小组	https://item.jd.com/12695067.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/141812/37/3260/286026/5f139865E9516f458/355bba191ec2ffa3.jpg
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释理解与适用	￥126.90	人民法院出版社	李少平	https://item.jd.com/13154174.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/166362/8/13814/81453/60546315Ec01c5032/3d81a8fa55474c89.jpg
最高人民法院民法典婚姻家庭编司法解释（一）理解与适用	￥155.10	人民法院出版社	最高人民法院民一庭	https://item.jd.com/12912733.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/203559/11/774/61073/61138a3cEf048acd2/912a8fafe7a50fd7.jpg
【正版现货】2021年新版最高人民法院新建设工程施工合同司法解释(一)理解与适用	￥96.00	人民法院出版社	最高人民法院民事审判第一庭	https://item.jd.com/24794699751.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/177147/19/285/358751/607feff4E3bf60c70/a1a7485e61edc9ea.jpg
最高人民法院新建设工程施工合同司法解释（一）理解与适用	￥105.60	人民法院出版社	最高人民法院民事审判第一庭	https://item.jd.com/13217642.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/171770/40/6513/64651/60862100Eccb7019c/564e4ef462813c94.jpg
公司章程陷阱及72个核心条款设计指引：基于200个公司章程及股东争议真实案例深度解析	￥79.60	中国法制出版社	唐青林	https://item.jd.com/12671398.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/55970/31/7209/246316/5d4b8680Ed5a45c3b/40f0c33e773abb78.jpg
《中华人民共和国民法典理解与适用》（全套6卷11册）	￥1318.40	人民法院出版社	最高人民法院民法典贯彻实施工作领导小组	https://item.jd.com/12927062.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/113247/25/12833/389950/5f14e303E3b0f004b/53dfc52034e5cb2b.jpg
以案说法——专利复审、无效典型案例指引	￥70.80	知识产权出版社	国家知识产权局专利复审委员会	https://item.jd.com/12456103.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/2191/36/16549/70402/5be28be6Ef83c12b8/d934730d5936c08f.jpg
现货2021新版最高人民法院新建设工程施工合同司法解释（一）理解与适用司法案例法律书籍人民法院出版社	￥87.90	人民法院出版社	最高人民法院民事审判第一庭编	https://item.jd.com/10029721574135.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/159399/9/19956/307846/6080d032E2085aee7/3d6c370834da508b.jpg
中华人民共和国常用法律法规规章司法解释大全（2021年版）（总第十四版）	￥77.20	中国法制出版社	中华人民共和国司法部	https://item.jd.com/12817079.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/162905/27/13288/93093/605462aeE7d7dd6b7/8f4ef7c90459205e.jpg
