华图2022事业单位考试用书2021公共基础知识题库公基6000题事业编考试真题试卷河北山西内蒙古重庆公基6000题库	￥49.00	红旗出版社	华图教育	https://item.jd.com/68488152227.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/140289/6/21117/141421/619af8d2E011d5aee/a1f7596bda0e64da.jpg
中公教育2022北京市事业单位考试：公共基本能力+历年真题+全真模拟+能力1001题（套装4册）	￥96.80	人民日报出版社	李永新	https://item.jd.com/12940877.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/79603/20/17666/137094/613abf43E49b2256e/c06715be2fbfe1ac.jpg
中公教育2021社区工作者考试：一本通+社区工作知识考点精讲与全真题库+真题汇编及全真模拟试卷共3册	￥59.70	世界图书出版公司	李永新	https://item.jd.com/13157712.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/165717/25/13478/138193/60530815E7d03cd3a/667393e41e2102b8.jpg
中公教育2022军队文职人员招聘考试：公共科目一本通+公共科目历年真题+公共科目通关题库（套装5册）	￥79.60	人民日报出版社	李永新	https://item.jd.com/13396466.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/135722/30/25467/148198/61adc1d5Ef30d1ced/52ca2c1ba77f5c45.jpg
粉笔事业编考试2021公共基础知识教材事业单位考试用书公共基础知识题库历年真题河南河北山西四川	￥60.20	电子工业出版社	粉笔公考	https://item.jd.com/13049628.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/191281/7/21042/81533/612ef330Eb32a56c6/f6e9f68b384cecef.jpg
中公教育2022事业单位招聘考试专项刷题库6000题：公共基础知识（全新升级）	￥43.10	山东人民出版社	李永新	https://item.jd.com/12861693.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/191165/24/5189/180590/60af0475E032e3508/47e995984d461fdb.jpg
中公教育2022军队文职人员招聘考试教材：管理学+管理学考前冲刺试卷（套装2册）	￥45.80	人民日报出版社	中公教育军队文职考试研究院	https://item.jd.com/12924637.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/217689/2/6830/129613/61adc1f5Ed9d07094/586ce2bf83d75308.jpg
粉笔事业编2021山东省公共基础知识教材事业单位考试用书山东省事业单位公共基础知识历年真题题库	￥60.20	电子工业出版社	粉笔公考	https://item.jd.com/13049648.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/197852/20/13266/99310/6169603eEbb40a2f3/1ff2c93c4f19a404.jpg
中公教育2022军队文职人员招聘考试书：公共科目高分通关题库	￥24.60	人民日报出版社	李永新	https://item.jd.com/13377468.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/191384/10/16601/149080/610b7c82E690df05e/8bc8989531c290a0.jpg
中公教育2022军队文职人员招聘考试教材：公共科目历年真题详解	￥22.00	人民日报出版社	中公教育军队文职考试研究院	https://item.jd.com/13377492.html	https://img12.360buyimg.com/n1/s200x200_jfs/t1/194016/7/16867/133483/610b7c81E2f5366f6/3d37e0c216051899.jpg
中公教育2021事业单位公开招聘工作人员考试教材：面试真题详解1000道（全新升级）	￥19.80	人民日报出版社	李永新	https://item.jd.com/13027554.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/130836/25/16493/182328/5fb5e4e7Ef6942c4b/5f325d3c72e19cb1.jpg
中公教育2022军队文职人员招聘考试书：公共科目一本通	￥33.00	人民日报出版社	李永新	https://item.jd.com/12916311.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/204296/6/1006/147012/6114cd33E578d845d/1c3ebe0ed25ea5b7.jpg
粉笔事业编考试2021决战公共基础知识5000题事业单位考试真题2021年题库山东西河南北四川贵州云南安徽省	￥93.20	电子工业出版社	粉笔公考	https://item.jd.com/12604328.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/42352/36/16847/126505/612ef085E61ead6b5/738f3f9788ab6cc2.jpg
中公教育2022军队文职人员招聘考试教材：会计学+会计学考前冲刺试卷（套装2册）	￥48.40	人民日报出版社	中公教育军队文职考试研究院	https://item.jd.com/12924645.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/162980/3/22099/130509/61adc29eEaf67909c/6d81f7110d4d9e4b.jpg
